NUM NOME          POT  FCMX    TEIF   IP    <-------------------- GTMIN PARA O PRIMEIRO ANO DE ESTUDO ------------------------|D+ ANOS
 XXX XXXXXXXXXXXX  XXXX. XXX.  XXX.XX XXX.XX JAN.XX FEV.XX MAR.XX ABR.XX MAI.XX JUN.XX JUL.XX AGO.XX SET.XX OUT.XX NOV.XX DEZ.XX XXX.XX
   1 ANGRA 1        640. 100.    2.14   9.55   0.00   0.00   0.00   0.00   0.00   0.00   0.00 639.99 639.99 509.82 509.82 509.82 487.09
  13 ANGRA 2       1350. 100.    2.78  15.09   0.00   0.00   0.00   0.00   0.00   0.00   0.00 1350.0 1350.0 1080.0 481.27 423.39 1080.0
 211 BAIXADA FLU    530. 100.    7.78   5.23   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 256 CIDADE LIVRO     0. 100.    2.50   5.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  97 CUBATAO        216. 100.    9.61   5.97   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  86.40  86.40  86.40   0.00
  12 CUIABA G CC    529.  90.    7.62   3.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 153 DAIA            44. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  65 DO ATLAN_CSA   255.  93.    1.37   6.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00  17.52 151.37 233.71 233.71 233.71 221.74
 183 DO_ATLANTICO   235.  93.    1.37   6.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00 190.43 218.68 201.50 201.50 201.50  50.38
 137 GNA I         1338. 100.    5.38   2.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 238 GNA II           0. 100.    2.50   2.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  63 IBIRITE        235. 100.    2.16   5.44   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  54 JUIZ DE FORA    87. 100.    6.72   4.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 245 KARKEY 013     259. 100.    0.88   3.33   0.00   0.00   0.00   0.00   0.00   0.00   0.00  30.00  30.00  29.00  29.00  29.00  29.00
 246 KARKEY 019     116. 100.    0.76   2.29   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  15 LINHARES       204. 100.    2.16   1.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 257 LINHARES LRC     0. 100.    2.19   1.84   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 247 LINHARES PCS    36. 100.    1.87   1.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 236 MARLIM AZUL    566. 100.    5.00   4.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 420.84 420.84 210.42
 110 N.PIRATINING   386.  97.    4.19  15.22   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 171 NORTEFLU-1     400. 100.    0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 320.00 399.99 399.99 399.99 399.99
 172 NORTEFLU-2     100. 100.    3.71   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 173 NORTEFLU-3     200. 100.    3.71   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 174 NORTEFLU-4     127. 100.    3.71   5.88   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 229 ONCA PINTADA    50.  95.    2.21   3.38   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  24.00  27.44  27.44   0.00   6.86
 182 PALMEIRAS GO   176.  80.   63.73   8.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 248 PAULINIA VER    16. 100.    1.63   0.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00  15.70  15.70  15.68  15.68  15.68  15.58
  50 PIRAT.12 G     200. 100.    6.57  12.08   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 249 PORSUD I       116. 100.    0.81   3.14   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 250 PORSUD II       78. 100.    0.82   4.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 251 POVOACAO 1      75. 100.    1.93   1.18   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  62 SEROPEDICA     360. 100.    9.79   3.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
   4 ST.CRUZ 34     436.  92.   24.25  18.01   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  86 ST.CRUZ NOVA   500. 100.    4.91   5.73   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 146 STA VITORIA     41.  93.    3.92  10.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00  18.00  18.00  16.00  16.00  16.00  15.33
 194 T. NORTE 2     349.  94.    0.24   1.40   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  90 TERMOMACAE     929. 100.    8.07   5.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  47 TERMORIO       989. 100.   14.08   4.68   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 100.50 100.50 100.50   0.00
  68 TRES LAGOAS    350. 100.   11.26   4.07   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  49 VIANA          175. 100.    0.89   0.43   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 253 VIANA 1         37. 100.    2.01   1.19   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 334 W. ARJONA      177. 100.    6.22  28.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  86.25
 108 XAVANTES        54. 100.    0.31   0.35   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  48 ARAUCARIA      484. 100.    3.23  31.12   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 254 B. BONITA I     10. 100.   17.24   3.11   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.70   3.70   3.70   3.70   3.70   3.70
 156 CANDIOTA 3     350. 100.   15.56  15.23   0.00   0.00   0.00   0.00   0.00   0.00   0.00   5.48 226.00 210.00 210.00 210.00   0.00
  64 CANOAS         249. 100.    4.75  16.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  28 FIGUEIRA        20. 100.   11.84  12.39   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  26 J.LACERDA A1    80. 100.   10.13  20.86   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00  71.89  71.89  71.89  35.37
  27 J.LACERDA A2   110. 100.    8.70  13.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.23   0.00 100.42 100.42 100.42  50.96
  25 J.LACERDA B    220. 100.    8.22  13.62   0.00   0.00   0.00   0.00   0.00   0.00   0.00  14.19   0.00 100.95 104.32 201.91 101.74
  24 J.LACERDA C    330. 100.    7.57  14.30   0.00   0.00   0.00   0.00   0.00   0.00   0.00  19.35   0.00 305.01 305.01 305.01 169.72
 107 PAMPA SUL      345. 100.   24.88  11.27   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00 259.15 259.15 211.00 144.14
 149 SAO SEPE         8.  90.   13.24   2.53   0.00   0.00   0.00   0.00   0.00   0.00   0.00   4.00   4.00   0.00   0.00   0.00   0.00
 258 TROMBUDO         0. 100.    3.00   6.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  35 URUGUAIANA     640. 100.    0.14  56.17   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 235 CAMACARI MII     0. 100.    3.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  52 CAMPINA GDE    169. 100.   34.93  10.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 106 ERB CANDEIAS    17. 100.   30.88  10.66   0.00   0.00   0.00   0.00   0.00   0.00   0.00   3.27   3.50   4.00   4.00   4.00   3.92
  53 GLOBAL I       149. 100.    7.42   0.69   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  55 GLOBAL II      149. 100.    9.75   1.03   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  57 MARACANAU I    168. 100.   23.83  10.34   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 167 P. PECEM I     720. 100.    2.76   3.58   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 163 P. PECEM II    365. 100.    1.04   4.92   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 224 P. SERGIPE I  1593. 100.   13.30   1.64   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 162 PECEM II         0. 100.    3.00   1.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
  98 PERNAMBU_III   201. 100.   34.26  14.50   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 144 PETROLINA      136. 100.    4.34   2.80   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
 151 POTIGUAR        53. 100.    2.75   5.21   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00
