data,agrupamento,patamar,pmo,limite,erro
2024-08-01,1,1,11000.0,11000.0,0.0
2024-08-01,1,2,11000.0,11000.0,0.0
2024-08-01,1,3,11000.0,11000.0,0.0
2024-09-01,1,1,11000.0,11000.0,0.0
2024-09-01,1,2,11000.0,11000.0,0.0
2024-09-01,1,3,11000.0,11000.0,0.0
2024-10-01,1,1,11000.0,11000.0,0.0
2024-10-01,1,2,11000.0,11000.0,0.0
2024-10-01,1,3,11000.0,11000.0,0.0
2024-11-01,1,1,11000.0,11000.0,0.0
2024-11-01,1,2,11000.0,11000.0,0.0
2024-11-01,1,3,11000.0,11000.0,0.0
2024-12-01,1,1,11000.0,11000.0,0.0
2024-12-01,1,2,11000.0,11000.0,0.0
2024-12-01,1,3,11000.0,11000.0,0.0
2025-01-01,1,1,11000.0,11000.0,0.0
2025-01-01,1,2,11000.0,11000.0,0.0
2025-01-01,1,3,11000.0,11000.0,0.0
2025-02-01,1,1,11000.0,11000.0,0.0
2025-02-01,1,2,11000.0,11000.0,0.0
2025-02-01,1,3,11000.0,11000.0,0.0
2025-03-01,1,1,11000.0,11000.0,0.0
2025-03-01,1,2,11000.0,11000.0,0.0
2025-03-01,1,3,11000.0,11000.0,0.0
2025-04-01,1,1,11000.0,11000.0,0.0
2025-04-01,1,2,11000.0,11000.0,0.0
2025-04-01,1,3,11000.0,11000.0,0.0
2025-05-01,1,1,11000.0,11000.0,0.0
2025-05-01,1,2,11000.0,11000.0,0.0
2025-05-01,1,3,11000.0,11000.0,0.0
2025-06-01,1,1,11000.0,11000.0,0.0
2025-06-01,1,2,11000.0,11000.0,0.0
2025-06-01,1,3,11000.0,11000.0,0.0
2025-07-01,1,1,11000.0,11000.0,0.0
2025-07-01,1,2,11000.0,11000.0,0.0
2025-07-01,1,3,11000.0,11000.0,0.0
2025-08-01,1,1,11000.0,11000.0,0.0
2025-08-01,1,2,11000.0,11000.0,0.0
2025-08-01,1,3,11000.0,11000.0,0.0
2025-09-01,1,1,11000.0,11000.0,0.0
2025-09-01,1,2,11000.0,11000.0,0.0
2025-09-01,1,3,11000.0,11000.0,0.0
2025-10-01,1,1,11000.0,11000.0,0.0
2025-10-01,1,2,11000.0,11000.0,0.0
2025-10-01,1,3,11000.0,11000.0,0.0
2025-11-01,1,1,11000.0,11000.0,0.0
2025-11-01,1,2,11000.0,11000.0,0.0
2025-11-01,1,3,11000.0,11000.0,0.0
2025-12-01,1,1,11000.0,11000.0,0.0
2025-12-01,1,2,11000.0,11000.0,0.0
2025-12-01,1,3,11000.0,11000.0,0.0
2026-01-01,1,1,11000.0,11000.0,0.0
2026-01-01,1,2,11000.0,11000.0,0.0
2026-01-01,1,3,11000.0,11000.0,0.0
2026-02-01,1,1,11000.0,11000.0,0.0
2026-02-01,1,2,11000.0,11000.0,0.0
2026-02-01,1,3,11000.0,11000.0,0.0
2026-03-01,1,1,11000.0,11000.0,0.0
2026-03-01,1,2,11000.0,11000.0,0.0
2026-03-01,1,3,11000.0,11000.0,0.0
2026-04-01,1,1,11000.0,11000.0,0.0
2026-04-01,1,2,11000.0,11000.0,0.0
2026-04-01,1,3,11000.0,11000.0,0.0
2026-05-01,1,1,11000.0,11000.0,0.0
2026-05-01,1,2,11000.0,11000.0,0.0
2026-05-01,1,3,11000.0,11000.0,0.0
2026-06-01,1,1,11000.0,11000.0,0.0
2026-06-01,1,2,11000.0,11000.0,0.0
2026-06-01,1,3,11000.0,11000.0,0.0
2026-07-01,1,1,11000.0,11000.0,0.0
2026-07-01,1,2,11000.0,11000.0,0.0
2026-07-01,1,3,11000.0,11000.0,0.0
2026-08-01,1,1,11000.0,11000.0,0.0
2026-08-01,1,2,11000.0,11000.0,0.0
2026-08-01,1,3,11000.0,11000.0,0.0
2026-09-01,1,1,11000.0,11000.0,0.0
2026-09-01,1,2,11000.0,11000.0,0.0
2026-09-01,1,3,11000.0,11000.0,0.0
2026-10-01,1,1,11000.0,11000.0,0.0
2026-10-01,1,2,11000.0,11000.0,0.0
2026-10-01,1,3,11000.0,11000.0,0.0
2026-11-01,1,1,11000.0,11000.0,0.0
2026-11-01,1,2,11000.0,11000.0,0.0
2026-11-01,1,3,11000.0,11000.0,0.0
2026-12-01,1,1,11000.0,11000.0,0.0
2026-12-01,1,2,11000.0,11000.0,0.0
2026-12-01,1,3,11000.0,11000.0,0.0
2027-01-01,1,1,11000.0,11000.0,0.0
2027-01-01,1,2,11000.0,11000.0,0.0
2027-01-01,1,3,11000.0,11000.0,0.0
2027-02-01,1,1,11000.0,11000.0,0.0
2027-02-01,1,2,11000.0,11000.0,0.0
2027-02-01,1,3,11000.0,11000.0,0.0
2027-03-01,1,1,11000.0,11000.0,0.0
2027-03-01,1,2,11000.0,11000.0,0.0
2027-03-01,1,3,11000.0,11000.0,0.0
2027-04-01,1,1,11000.0,11000.0,0.0
2027-04-01,1,2,11000.0,11000.0,0.0
2027-04-01,1,3,11000.0,11000.0,0.0
2027-05-01,1,1,11000.0,11000.0,0.0
2027-05-01,1,2,11000.0,11000.0,0.0
2027-05-01,1,3,11000.0,11000.0,0.0
2027-06-01,1,1,11000.0,11000.0,0.0
